Rank	Franchise	Description	Minimum Startup	Maximum Startup
55	Koko FitClub LLC	Health club/fitness studio	200.71	327.07
57	Paul Davis Emergency Services	Emergency restoration services	40.78	147.82
58	Comfort Keepers	In-home care	66.01	99.39
58	McDonald's	Hamburgers, chicken, salads	1,070	1,890
60	College Hunks Hauling Junk/College Hunks Moving	Junk removal, moving & labor services	100	167.95
60	Express Employment Professionals	Staffing & HR solutions	100.5	193
60	Moe's Southwest Grill	Fast-casual Southwestern food	450.62	768.84
60	ServiceMaster Clean	Commercial/residential cleaning & disaster restoration	47.86	168.92
64	Real Property Management	Property-management services	35.55	74.4
64	Yogurtland Franchising Inc.	Self-serve frozen yogurt	352.6	695
66	Brightway Insurance	Property & casualty insurance	153	-
66	Pizza Hut Inc.	Pizza, pasta, wings	295	2,150
66	Pop-A-Lock Franchise System	Mobile security, locksmithing & related services	87.27	99.42
66	Seniors Helping Seniors	Nonmedical in-home senior care	86.79	123.89
70	Jantize America	Commercial cleaning	29.65	171.5
71	Soccer Shots Franchising LLC	Soccer programs for children ages 2 to 8	17.93	22.55
72	Transworld Business Advisors	Business brokerage & franchise consulting services	57.23	74.68
72	Weed Man	Lawn care	67.04	84.1
74	Buildingstars Int'l. Inc.	Commercial cleaning	2.2	52.8
74	CareMinders Home Care Inc.	Medical & nonmedical home care	138.1	199
74	Right at Home Inc.	Senior home care & medical staffing	64.9	111.6
77	Better Homes and Gardens Real Estate LLC	Real estate	190.97	513.55
77	Heaven's Best Carpet & Upholstery Cleaning	Carpet & upholstery cleaning	44.9	65.9
77	Miracle-Ear Inc.	Hearing instruments	122.5	450
77	Visiting Angels	Nonmedical in-home care services for seniors	59.34	81.09
81	ampm	Convenience store & gas station	1,820	7,770
81	Plato's Closet	Clothing-resale store for teens & young adults	230.7	386.15
83	Hampton Hotels	Mid-priced hotels	3,700	13,520
84	Doc Popcorn	All-natural flavored popcorn	70	170
84	Hand and Stone Massage and Facial Spa	Massage & spa services	320.8	438.92
86	Doubletree by Hilton	Upscale full-service hotels, resorts, guest suites	35,480	59,090
86	Homewatch CareGivers	In-home personal care, nursing-care coordination, memory care	73.5	125
86	Synergy HomeCare	Nonmedical home-care services	54.2	141.7
89	ASP-America's Swimming Pool Co.	Swimming pool maintenance, repairs & renovations	48.84	89.96
89	Bevintel LLC	Liquor inventory-control services	36.9	50.6
89	The Learning Experience	Child care	600	3,590
89	Novus Glass	Auto glass repair & replacement	40.78	222
89	Pita Pit Inc.	Pita sandwiches	198.55	320.08
89	Smashburger Franchising LLC	Hamburgers	317.5	789.5
95	Fish Window Cleaning Services Inc.	Window cleaning	76.23	136.7
96	Nathan's Famous Inc.	Hot dogs, hamburgers, seafood, chicken, cheesesteaks	276.36	1,070
96	Snap Fitness Inc.	24-hour fitness center	68.62	376.7
96	Snap-on Tools	Professional tools & equipment	19.49	295.8
99	Culver Franchising System Inc.	Frozen custard & specialty burgers	1,360	3,190
99	Eye Level	Supplemental education	51.22	111.6
